순번,도서명,저자,발행처,발행년
212,한국세계대백과사전.29:폴란 - 헥사,동서문화편집부 편,동서문화사,1995
213,한국세계대백과사전.30:핵산 - ㅎㅎ,동서문화편집부 편,동서문화사,1995
214,(Pascal)세계대백과사전.1:ㄱ - 거품,동서문화편집부 편저,동서문화,1999
215,(Pascal)세계대백과사전.2:거품-곤곡,동서문화편집부 편저,동서문화,1999
216,(Pascal)세계대백과사전.3:곤다-국가,동서문화편집부 편저,동서문화,1999
217,(Pascal)세계대백과사전.4:국가-금소,동서문화편집부 편저,동서문화,1999
218,(Pascal)세계대백과사전.5:금속-남바,동서문화편집부 편저,동서문화,1999
219,(Pascal)세계대백과사전.6:남반-단결,동서문화편집부 편저,동서문화,1999
220,(Pascal)세계대백과사전.7:단결-도척,동서문화편집부 편저,동서문화,1999
221,(Pascal)세계대백과사전.8:도철-레온,동서문화편집부 편저,동서문화,1999
222,(Pascal)세계대백과사전.9:레온-멕시,동서문화편집부 편저,동서문화,1999
223,(Pascal)세계대백과사전.11:바다-벽란,동서문화편집부 편저,동서문화,1999
224,(Pascal)세계대백과사전.12:벽립~브르,동서문화편집부 편저,동서문화,1999
225,(Pascal)세계대백과사전.13:브르-상대,동서문화편집부 편저,동서문화,1999
226,(Pascal)세계대백과사전.14:상대-센생,동서문화편집부 편저,동서문화,1999
227,(Pascal)세계대백과사전.15:센서-스타,동서문화편집부 편저,동서문화,1999
228,(Pascal)세계대백과사전.16:스타-씻김,동서문화편집부 편저,동서문화,1999
229,(Pascal)세계대백과사전.17:ㅇ-앙겔,동서문화편집부 편저,동서문화,1999
230,(Pascal)세계대백과사전.18:앙겔-연소,동서문화편집부 편저,동서문화,1999
231,(Pascal)세계대백과사전.19:연소-왕다,동서문화편집부 편저,동서문화,1999
232,(Pascal)세계대백과사전.20:왕달-유선,동서문화편집부 편저,동서문화,1999
233,(Pascal)세계대백과사전.21:유선-이줄,동서문화편집부 편저,동서문화,1999
234,(Pascal)세계대백과사전.22:이중-자비,동서문화편집부 편저,동서문화,1999
235,(Pascal)세계대백과사전.23:자비-접목,동서문화편집부 편저,동서문화,1999
236,(Pascal)세계대백과사전.24:접미-주금,동서문화편집부 편저,동서문화,1999
237,(Pascal)세계대백과사전.25:주급~찜통,동서문화편집부 편저,동서문화,1999
238,(Pascal)세계대백과사전.26:ㅊ-카벨,동서문화편집부 편저,동서문화,1999
239,(Pascal)세계대백과사전.27:카보-태양,동서문화편집부 편저,동서문화,1999
240,(Pascal)세계대백과사전.28:태양-폴라,동서문화편집부 편저,동서문화,1999
241,(Pascal)세계대백과사전.29:폴란~핵사,동서문화편집부 편저,동서문화,1999
242,(Pascal)세계대백과사전.30:핵산-ㅎㅎ,동서문화편집부 편저,동서문화,1999
243,학생대백과사전;1:수학.2,현대출판사편집부 편,현대출판사,1996
244,학생대백과사전.4:음악 · 가정,현대출판사편집부 편,현대출판사,1996
245,학생대백과사전.5:미술 · 기술,현대출판사편집부 편,현대출판사,1996
246,학생대백과사전.16:세계지리,현대출판사편집부 편,현대출판사,1996
247,(신)전자공학대사전.Ⅰ:학술편,전자공학사전편찬위원회 편,한국사전연구사,1994
248,(신)전자공학대사전.Ⅱ:정보통신컴퓨터 시스템공학 MIS전자공학용어 편,전자공학사전편찬위원회 편,한국사전연구사,1994
249,(신)전기공학대사전.(1),전기공학사전편찬위원회 편,한국사전연구사,1997
250,초전도의 기초와 응용,대한전기협회 편,대한전기협회,1993
251,"촘스키, 세상의 권력을 말하다.1",노암 촘스키 지음;강주헌 옮김,시대의창,2004
252,"촘스키, 세상의 권력을 말하다.2",노암 촘스키 지음;강주헌 옮김,시대의창,2004
253,브로커.1,장재영 지음,모아,1996
254,브로커.2,장재영 지음,모아,1996
255,브로커.3,장재영 지음,모아,1996
256,아버지를 사가세요,홍성훈 지음,아동문학세상,2008
257,아버지를 사가세요,홍성훈 지음,아동문학세상,2008
258,남편을 사가세요,홍성훈 지음,아동문학세상,2009
259,남편을 사가세요,홍성훈 지음,아동문학세상,2009
260,(진순신 중국 라이브러리)중국 오천년.1,진순신 지음;이혁재 옮김,다락원,2002
