N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
22,KB금융,"44,350",300,+0.68%,"5,000","184,411","415,808",66.53,"815,680",5.41,8.92,
23,신한지주,"33,000",150,+0.46%,"5,000","170,478","516,600",58.29,"865,489",4.73,9.09,
24,삼성전기,"215,500","3,000",+1.41%,"5,000","160,965","74,694",35.61,"243,493",44.15,10.18,
25,삼성에스디에스,"208,000","6,000",+2.97%,500,"160,946","77,378",11.76,"149,521",30.71,11.76,
26,한국전력,"24,600",450,+1.86%,"5,000","157,923","641,964",17.37,"2,751,648",170.83,-3.42,
27,삼성생명,"77,700",500,+0.65%,500,"155,400","200,000",12.35,"295,276",15.61,3.26,
28,아모레퍼시픽,"251,000","13,000",+5.46%,500,"146,731","58,458",32.82,"365,264",403.54,5.36,
29,SK바이오팜,"152,500","2,000",+1.33%,500,"119,428","78,313",4.88,"129,259",-138.64,-313.66,
30,넷마블,"131,500","4,500",+3.54%,100,"112,930","85,878",22.97,"601,415",53.26,3.54,
31,KT&G,"81,600",400,+0.49%,"5,000","112,031","137,292",40.44,"290,275",11.38,12.39,
32,하나금융지주,"36,250",100,-0.28%,"5,000","108,838","300,242",67.23,"618,813",4.43,8.77,
33,한온시스템,"18,400",400,+2.22%,100,"98,219","533,800",20.23,"701,277",69.96,14.98,
34,롯데케미칼,"285,500","3,500",-1.21%,"5,000","97,856","34,275",26.38,"133,918",84.39,5.51,
35,한화솔루션,"56,100",600,-1.06%,"5,000","89,684","159,864",19.44,"927,929",-102.94,-4.02,
36,포스코케미칼,"141,000","1,500",+1.08%,500,"85,993","60,988",7.59,"206,787",316.85,11.57,
37,삼성화재,"179,500",500,-0.28%,500,"85,038","47,375",44.88,"58,906",13.12,4.85,
38,LG디스플레이,"23,450",100,-0.42%,"5,000","83,908","357,816",24.37,"2,125,178",-3.41,-22.35,
39,현대글로비스,"219,000","8,000",+3.79%,500,"82,125","37,500",35.28,"510,861",12.31,11.25,
40,S-Oil,"72,700",300,-0.41%,"2,500","81,848","112,583",76.09,"153,620",-9.75,1.01,
41,고려아연,"429,500","2,500",+0.59%,"5,000","81,047","18,870",23.19,"25,818",14.47,9.76,
42,한국조선해양,"109,500","4,500",+4.29%,"5,000","77,497","70,773",16.38,"234,406",362.58,1.40,
43,빅히트,"209,500","17,000",+8.83%,500,"74,632","35,624",4.20,"1,400,784",N/A,56.47,
44,CJ제일제당,"464,000","20,500",+4.62%,"5,000","69,851","15,054",24.63,"70,341",9.64,3.16,
45,우리금융지주,"9,580",60,+0.63%,"5,000","69,193","722,268",25.13,"662,631",5.14,N/A,
46,KT,"24,550",850,+3.59%,"5,000","64,103","261,112",43.83,"2,131,585",10.46,4.61,
47,미래에셋대우,"9,930",130,+1.33%,"5,000","64,080","645,316",14.96,"1,076,140",10.38,7.56,
48,기업은행,"8,430",50,-0.59%,"5,000","62,269","738,664",10.45,"1,394,496",4.31,7.36,
49,현대제철,"45,100",400,+0.89%,"5,000","60,184","133,446",19.59,"351,713",-24.43,0.10,
50,KODEX 200,"43,995",770,+1.78%,0,"58,645","133,300",12.85,"2,876,605",N/A,N/A,
51,금호석유,"190,000",500,-0.26%,"5,000","57,889","30,468",29.39,"137,196",16.26,11.84,
52,한미사이언스,"82,600","4,000",+5.09%,500,"55,594","67,305",1.59,"310,211",375.45,4.73,
53,아모레G,"66,800","2,700",+4.21%,500,"55,082","82,458",20.07,"171,988",236.04,4.12,
54,한국타이어앤테크놀로지,"44,400",350,+0.79%,500,"55,001","123,875",40.56,"268,895",21.37,6.03,
55,코웨이,"74,400",900,+1.22%,500,"54,907","73,800",61.00,"119,349",15.38,30.74,
56,강원랜드,"25,600",300,+1.19%,500,"54,769","213,940",22.55,"524,423",-28.83,9.16,
57,LG유플러스,"12,350",200,+1.65%,"5,000","53,922","436,611",30.54,"1,885,440",6.80,6.30,
58,녹십자,"453,500","28,500",+6.71%,"5,000","52,998","11,687",21.28,"251,565",121.65,-0.35,
59,신풍제약,"100,000",100,+0.10%,500,"52,985","52,985",11.40,"283,710","2,777.78",0.80,
60,대한항공,"30,350","3,250",+11.99%,"5,000","52,873","174,210",12.42,"9,131,992",-6.92,-22.09,
61,유한양행,"73,000",600,+0.83%,"1,000","51,080","69,973",20.31,"166,594",28.12,2.43,
62,이마트,"182,500","8,500",+4.89%,"5,000","50,873","27,876",31.66,"263,542",9.11,2.76,
63,현대건설,"45,350",950,+2.14%,"5,000","50,500","111,356",18.93,"822,895",22.11,6.30,
64,두산중공업,"13,300",100,-0.75%,"5,000","49,827","374,637",10.77,"1,110,219",-2.87,-14.73,
65,오리온,"126,000","4,500",+3.70%,500,"49,816","39,536",41.94,"107,635",18.20,14.24,
66,SK케미칼,"418,000","7,500",+1.83%,"5,000","49,079","11,741",20.61,"156,756",19.07,1.51,
67,한국금융지주,"87,900","1,100",+1.27%,"5,000","48,983","55,726",30.58,"115,546",8.04,18.14,
68,LG이노텍,"206,500","6,500",+3.25%,"5,000","48,873","23,667",32.51,"213,401",37.44,4.73,
69,SKC,"127,500","6,000",+4.94%,"5,000","48,282","37,868",8.16,"421,190",56.59,3.86,
70,HMM,"14,500",200,-1.36%,"5,000","47,375","326,726",7.56,"2,150,569",-46.77,-55.46,
71,한미약품,"379,500","17,500",+4.83%,"2,500","45,837","12,078",13.70,"104,937","-3,684.47",7.30,
72,삼성중공업,"6,880",110,+1.62%,"5,000","43,344","630,000",15.08,"1,932,127",-3.47,-21.88,
73,한진칼,"65,100","1,100",+1.72%,"2,500","43,137","66,263",15.40,"55,485",-10.74,-17.56,
74,현대차2우B,"118,000",500,+0.43%,"5,000","43,053","36,485",60.79,"58,242",28.20,N/A,
75,현대중공업지주,"270,500","4,500",+1.69%,"5,000","42,735","15,799",17.84,"20,776",-16.39,2.20,
76,두산퓨얼셀,"62,400",100,-0.16%,100,"40,868","65,494",19.85,"2,132,317",182.99,N/A,
77,맥쿼리인프라,"10,600",50,+0.47%,0,"39,452","372,192",13.71,"426,779",N/A,N/A,
78,CJ대한통운,"172,500","1,500",+0.88%,"5,000","39,351","22,812",21.18,"31,706",31.10,1.41,
79,롯데지주,"36,400",0,0.00%,200,"38,187","104,909",11.34,"137,832",-5.33,-5.21,
80,LG화학우,"492,000","2,000",-0.40%,"5,000","37,829","7,689",62.81,"23,343",45.97,N/A,
81,삼성카드,"32,450",250,+0.78%,"5,000","37,596","115,859",10.79,"39,482",9.12,5.04,
82,삼성증권,"41,250",200,+0.49%,"5,000","36,836","89,300",26.36,"226,260",7.83,8.15,
83,만도,"78,300",300,+0.38%,"1,000","36,767","46,957",25.61,"433,521",-66.30,7.55,
84,GS,"38,850",200,-0.51%,"5,000","36,098","92,915",19.34,"163,756",-42.14,6.26,
85,호텔신라,"89,200","1,100",+1.25%,"5,000","35,009","39,248",20.69,"469,163",-27.07,20.16,
86,키움증권,"145,000","3,000",+2.11%,"5,000","34,912","24,077",22.36,"147,239",6.40,16.97,
87,쌍용양회,"6,870",20,-0.29%,100,"34,615","503,860",3.12,"1,159,905",27.59,7.02,
88,GS건설,"42,150",400,-0.94%,"5,000","34,051","80,785",27.23,"706,633",11.03,11.79,
89,동서,"33,950",350,+1.04%,500,"33,848","99,700",4.27,"118,139",24.48,10.53,
90,롯데쇼핑,"118,500","2,500",+2.16%,"5,000","33,522","28,289",11.72,"89,582",-2.50,-8.14,
91,NH투자증권,"11,800",200,+1.72%,"5,000","33,206","281,409",15.28,"571,825",5.73,9.12,
92,두산밥캣,"33,100",100,-0.30%,500,"33,182","100,249",21.90,"198,526",17.91,7.05,
93,에스원,"85,900","1,600",+1.90%,500,"32,641","37,999",56.23,"23,975",22.61,11.32,
94,더존비즈온,"108,000","1,500",-1.37%,500,"32,540","30,130",46.48,"69,679",67.12,18.78,
95,한국항공우주,"33,000","2,000",+6.45%,"5,000","32,167","97,475",14.16,"1,717,124",24.30,15.84,
96,CJ,"109,500","3,500",+3.30%,"5,000","31,949","29,177",20.36,"70,912",18.19,6.24,
97,한국가스공사,"34,350",250,+0.73%,"5,000","31,710","92,313",8.82,"205,283",-6.32,0.48,
98,대웅,"54,000","3,300",+6.51%,500,"31,397","58,142",5.32,"1,314,778",62.21,10.43,
99,DB하이텍,"68,200","1,000",-1.45%,"5,000","30,280","44,399",24.79,"1,017,264",18.40,17.40,
100,대우조선해양,"28,200",700,+2.55%,"5,000","30,256","107,291",9.34,"178,002",17.35,-1.22,
101,씨에스윈드,"175,000","1,000",+0.57%,500,"30,250","17,286",9.11,"94,263",61.02,9.92,
102,TIGER 200,"43,975",765,+1.77%,0,"29,859","67,900",3.03,"332,065",N/A,N/A,
103,일진머티리얼즈,"64,500",100,+0.16%,500,"29,741","46,111",9.02,"337,321",66.91,8.52,
104,현대차우,"121,500",500,-0.41%,"5,000","29,593","24,357",54.45,"101,256",29.03,N/A,
105,현대오토에버,"139,000",500,-0.36%,500,"29,190","21,000",1.03,"66,725",50.79,11.71,
106,휠라홀딩스,"47,550","1,750",+3.82%,"1,000","28,888","60,752",48.41,"326,960",16.03,23.81,
107,DB손해보험,"40,400",400,+1.00%,500,"28,603","70,800",40.87,"98,851",5.15,6.92,
108,현대위아,"104,000","2,000",-1.89%,"5,000","28,283","27,195",11.02,"575,995",22.47,1.80,
109,팬오션,"5,240",120,+2.34%,"1,000","28,011","534,570",11.62,"1,960,659",20.71,5.49,
110,GS리테일,"36,350",550,+1.54%,"1,000","27,990","77,000",14.76,"195,756",16.57,6.25,
111,BGF리테일,"159,000","7,000",+4.61%,"1,000","27,481","17,284",31.66,"50,635",21.00,26.46,
112,대우건설,"6,410",140,+2.23%,"5,000","26,641","415,623",8.04,"5,400,533",13.84,8.80,
113,한화,"35,200",700,+2.03%,"5,000","26,385","74,959",19.84,"571,994",14.34,2.09,
114,삼성엔지니어링,"13,450",100,+0.75%,"5,000","26,362","196,000",24.62,"683,404",10.32,24.62,
115,한화생명,"2,965",60,+2.07%,"5,000","25,752","868,530",7.33,"4,480,497",11.27,0.51,
116,OCI,"107,500",0,0.00%,"5,000","25,638","23,849",20.14,"138,367",-3.47,-26.20,
117,신세계,"255,000","4,000",+1.59%,"5,000","25,105","9,845",24.94,"59,503",-8.19,14.24,
118,DL이앤씨,"129,000","4,000",-3.01%,"5,000","24,973","19,359",31.95,"2,367,402",N/A,N/A,
119,하이트진로,"34,800",50,-0.14%,"5,000","24,406","70,134",8.68,"292,322",32.89,-3.86,
120,메리츠증권,"3,580",40,+1.13%,"1,000","24,199","675,962",13.38,"1,103,215",4.48,15.06,
121,종근당,"211,500","1,000",-0.47%,"2,500","24,166","11,426",13.27,"96,448",25.09,11.94,
122,LS,"74,000","1,500",-1.99%,"5,000","23,828","32,200",13.93,"125,448","-1,027.78",0.80,
123,한샘,"100,500",700,+0.70%,"1,000","23,652","23,534",23.15,"32,681",35.29,7.32,
124,한솔케미칼,"209,000","9,000",+4.50%,"5,000","23,607","11,295",40.19,"67,037",20.11,20.88,
125,현대로템,"21,400",50,+0.23%,"5,000","23,356","109,142",4.40,"672,009",-12.15,-37.93,
126,제일기획,"20,300",250,+1.25%,200,"23,353","115,041",32.80,"330,919",17.20,15.09,
